reference_entity,auction_date,currency,final_price,initial_market_midpoint,net_open_interest_amount,net_open_interest_direction,transaction_type,ticker,url,source,title
"General Growth Properties, Inc.",2009-05-13,,44.25,,,,Lien 1,GGP,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GGP,creditfixings,"General Growth Properties, Inc. Credit Event Auction"
Syncora Guarantee Inc.,2009-05-27,,15.0,,,,Senior,SYNHL-Gua,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=SYNHL-Gua,creditfixings,Syncora Guarantee Inc. Credit Event Auction
Edscha AG,2009-05-28,,3.75,,,,Lien 3,Edscha-A05,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Edscha-A05,creditfixings,Edscha AG Credit Event Auction
"HLI Operating Company, Inc.",2009-06-09,,9.5,,,,Lien 1,HAZ-HOC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=HAZ-HOC,creditfixings,"HLI Operating Company, Inc. Credit Event Auction"
"Joint Stock Company ""BTA Bank""",2009-06-10,,10.25,,,,Senior,BTAB,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=BTAB,creditfixings,"Joint Stock Company ""BTA Bank"" Credit Event Auction"
Georgia Gulf Corporation,2009-06-10,,83.0,,,,Lien 1,GGC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GGC,creditfixings,Georgia Gulf Corporation Credit Event Auction
R.H. Donnelley Corporation,2009-06-11,,4.875,,,,Senior,RHD,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=RHD,creditfixings,R.H. Donnelley Corporation Credit Event Auction
GENERAL MOTORS CORPORATION,2009-06-12,,12.5,,,,Senior,GM,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GM,creditfixings,GENERAL MOTORS CORPORATION Credit Event Auction
GENERAL MOTORS CORPORATION,2009-06-12,,97.5,,,,Lien 1,GM,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=GM,creditfixings,GENERAL MOTORS CORPORATION Credit Event Auction
"JSC ""Alliance Bank""",2009-06-18,,16.75,,,,Senior,ALLBNK,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=ALLBNK,creditfixings,"JSC ""Alliance Bank"" Credit Event Auction"
Visteon Corporation,2009-06-23,,3.0,,,,Senior,VC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=VC,creditfixings,Visteon Corporation Credit Event Auction
Visteon Corporation,2009-06-23,,39.0,,,,Lien 1,VC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=VC,creditfixings,Visteon Corporation Credit Event Auction
Dex Media East LLC,2009-06-24,,77.25,,,,Lien 1,DXME,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=DXME,creditfixings,Dex Media East LLC Credit Event Auction
DEX MEDIA WEST LLC,2009-06-24,,82.875,,,,Lien 1,DXMW,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=DXMW,creditfixings,DEX MEDIA WEST LLC Credit Event Auction
R.H. Donnelley Inc.,2009-06-24,,78.125,,,,Lien 1,RHD-Inc,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=RHD-Inc,creditfixings,R.H. Donnelley Inc. Credit Event Auction
"Six Flags, Inc.",2009-07-09,,14.0,,,,Senior,PKS,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=PKS,creditfixings,"Six Flags, Inc. Credit Event Auction"
Six Flags Theme Parks Inc.,2009-07-09,,96.125,,,,Lien 1,PKS-SFTP,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=PKS-SFTP,creditfixings,Six Flags Theme Parks Inc. Credit Event Auction
Lear Corporation,2009-07-21,,38.5,,,,Senior,LEA,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LEA,creditfixings,Lear Corporation Credit Event Auction
Lear Corporation,2009-07-21,,66.0,,,,Lien 1,LEA,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=LEA,creditfixings,Lear Corporation Credit Event Auction
Bradford & Bingley PLC,2009-07-30,,94.625,,,,Senior,BRADBI,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=BRADBI,creditfixings,Bradford & Bingley PLC Credit Event Auction
Bradford & Bingley PLC,2009-07-30,,5.0,,,,Subordinated,BRADBI,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=BRADBI,creditfixings,Bradford & Bingley PLC Credit Event Auction
SSP Financing Limited,2009-10-08,,52.375,,,,Lien 1,SSPFIN,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=SSPFIN,creditfixings,SSP Financing Limited Credit Event Auction
Thomson,2009-10-22,,63.25,,,,Senior - B3 - 7.5Y,TMMFP,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=TMMFP,creditfixings,Thomson Credit Event Auction
Thomson,2009-10-22,,65.125,,,,Senior - B2 - 5Y,TMMFP,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=TMMFP,creditfixings,Thomson Credit Event Auction
Thomson,2009-10-22,,96.25,,,,Senior - B1 - 2.5Y,TMMFP,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=TMMFP,creditfixings,Thomson Credit Event Auction
Metro-Goldwyn-Mayer Inc.,2009-11-10,,58.5,,,,Lien 1,MGM,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=MGM,creditfixings,Metro-Goldwyn-Mayer Inc. Credit Event Auction
CIT Group Inc.,2009-11-20,,68.125,,,,Senior,CIT,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CIT,creditfixings,CIT Group Inc. Credit Event Auction
Thomson,2009-12-10,,77.75,,,,Senior,TMMFP,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=TMMFP,creditfixings,Thomson Credit Event Auction
Hellas Telecommunications (Luxembourg) II,2009-12-15,,1.375,,,,Subordinated,HELLAS-II,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=HELLAS-II,creditfixings,Hellas Telecommunications (Luxembourg) II Credit Event Auction
"National Joint Stock Company ""Naftogaz of Ukraine""",2009-12-16,,83.5,,,,Senior,NAFT,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=NAFT,creditfixings,"National Joint Stock Company ""Naftogaz of Ukraine"" Credit Event Auction"
Financial Guaranty Insurance Company,2010-01-07,,26.0,,,,Senior,FGIC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=FGIC,creditfixings,Financial Guaranty Insurance Company Credit Event Auction
Cemex S.A.B. de C.V.,2010-02-18,,97.0,,,,Senior,CEMSAB,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=CEMSAB,creditfixings,Cemex S.A.B. de C.V. Credit Event Auction
AIFUL CORPORATION,2010-03-25,,33.875,,,,Senior,AIFUL,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=AIFUL,creditfixings,AIFUL CORPORATION Credit Event Auction
McCarthy and Stone,2010-04-15,,70.375,,,,Lien 1,McCarthy-A06,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=McCarthy-A06,creditfixings,McCarthy and Stone Credit Event Auction
Japan Airlines Corporation,2010-04-22,,20.0,,,,Senior,JALC,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=JALC,creditfixings,Japan Airlines Corporation Credit Event Auction
Ambac Assurance Corporation,2010-06-04,,20.0,,,,Senior,ABK-AssurCorp,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,creditfixings,Ambac Assurance Corporation Credit Event Auction
TRUVO SUBSIDIARY CORP.,2010-07-15,,3.0,,,,Senior,TRUVO-SubCo,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,creditfixings,TRUVO SUBSIDIARY CORP. Credit Event Auction
Truvo (formerly known as World Directories),2010-09-09,EUR,41.125,,,,Lien 2,WorldDir-B07,https://www.cdsdeterminationscommittees.org/lcds/truvo-usa-llc-credit-event/,creditfixings,Truvo (formerly known as World Directories) Credit Event Auction
"Boston Generating, LLC",2010-09-21,,96.75,,,,Lien 1,BOSG,https://www.cdsdeterminationscommittees.org/lcds/boston-generating-llc/,creditfixings,"Boston Generating, LLC Credit Event Auction"
Takefuji Corporation,2010-10-28,,14.75,,,,Senior,TAKFUJ,https://www.cdsdeterminationscommittees.org/cds/takefuji-corporation/,creditfixings,Takefuji Corporation Credit Event Auction
ANGLO IRISH BANK CORPORATION LIMITED,2010-12-09,EUR,18.0,,,,Subordinated - B3,ANGBKL,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,creditfixings,ANGLO IRISH BANK CORPORATION LIMITED Credit Event Auction
ANGLO IRISH BANK CORPORATION LIMITED,2010-12-09,EUR,18.25,,,,Subordinated - B2,ANGBKL,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,creditfixings,ANGLO IRISH BANK CORPORATION LIMITED Credit Event Auction
ANGLO IRISH BANK CORPORATION LIMITED,2010-12-09,EUR,74.5,,,,Senior - B3,ANGBKL,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,creditfixings,ANGLO IRISH BANK CORPORATION LIMITED Credit Event Auction
ANGLO IRISH BANK CORPORATION LIMITED,2010-12-09,EUR,76.0,,,,Senior - B2,ANGBKL,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,creditfixings,ANGLO IRISH BANK CORPORATION LIMITED Credit Event Auction
ANGLO IRISH BANK CORPORATION LIMITED,2010-12-09,EUR,74.5,,,,Senior/Subordinated - B1,ANGBKL,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,creditfixings,ANGLO IRISH BANK CORPORATION LIMITED Credit Event Auction
"Ambac Financial Group, Inc.",2010-12-10,USD,9.5,,,,Senior,ABK,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,creditfixings,"Ambac Financial Group, Inc. Credit Event Auction"
ANGLO IRISH BANK CORPORATION LIMITED,2011-02-02,EUR,71.25,,,,Snrfor/Sublt2,ANGBKL,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,creditfixings,ANGLO IRISH BANK CORPORATION LIMITED Credit Event Auction
ALLIED IRISH BANKS PUBLIC LIMITED COMPANY,2011-06-30,,70.125,,,,Senior,AIB,https://www.cdsdeterminationscommittees.org/cds/allied-irish-banks-plc-3/,creditfixings,ALLIED IRISH BANKS PUBLIC LIMITED COMPANY Credit Event Auction
ALLIED IRISH BANKS PUBLIC LIMITED COMPANY,2011-06-30,,10.375,,,,Subordinated,AIB,https://www.cdsdeterminationscommittees.org/cds/allied-irish-banks-plc-3/,creditfixings,ALLIED IRISH BANKS PUBLIC LIMITED COMPANY Credit Event Auction
The Governor and Company of the Bank of Ireland,2011-07-28,EUR,86.5,,,,Senior/Subordinated - B1,BKIR,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,creditfixings,The Governor and Company of the Bank of Ireland Credit Event Auction
The Governor and Company of the Bank of Ireland,2011-07-28,EUR,76.625,,,,Senior - B2,BKIR,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,creditfixings,The Governor and Company of the Bank of Ireland Credit Event Auction
The Governor and Company of the Bank of Ireland,2011-07-28,EUR,72.875,,,,Senior - B3,BKIR,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,creditfixings,The Governor and Company of the Bank of Ireland Credit Event Auction
The Governor and Company of the Bank of Ireland,2011-07-28,EUR,72.5,,,,Senior - B6,BKIR,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,creditfixings,The Governor and Company of the Bank of Ireland Credit Event Auction
The Governor and Company of the Bank of Ireland,2011-07-28,EUR,35.625,,,,Subordinated - B2,BKIR,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,creditfixings,The Governor and Company of the Bank of Ireland Credit Event Auction
The Governor and Company of the Bank of Ireland,2011-07-28,EUR,37.25,,,,Subordinated - B3,BKIR,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,creditfixings,The Governor and Company of the Bank of Ireland Credit Event Auction
The Governor and Company of the Bank of Ireland,2011-07-28,EUR,34.25,,,,Subordinated - B6,BKIR,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,creditfixings,The Governor and Company of the Bank of Ireland Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-07-29,EUR,83.0,,,,Senior - B1,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-07-29,EUR,71.0,,,,Senior - B2,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-07-29,EUR,71.0,,,,Senior - B3,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-07-29,EUR,38.25,,,,Subordinated - B1,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-07-29,EUR,21.375,,,,Subordinated - B2,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-07-29,EUR,20.0,,,,Subordinated - B3,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-10-05,EUR,86.0,,,,Senior - B1,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,2011-10-05,EUR,75.0,,,,Senior - B2,IPBS,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,creditfixings,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY Credit Event Auction
"Victor Company of Japan, Limited",2011-11-09,JPY,93.75,,,,Senior,JVC,https://www.cdsdeterminationscommittees.org/cds/victor-company-of-japan-limited/,creditfixings,"Victor Company of Japan, Limited Credit Event Auction"
"Panrico, S.L. Unipersonal",2011-11-23,,8.125,,,,Lien 1,Panrico-A06,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Panrico-A06,creditfixings,"Panrico, S.L. Unipersonal Credit Event Auction"
"DYNEGY HOLDINGS, LLC",2011-11-29,USD,71.25,,,,Senior,DYNHLD,https://www.cdsdeterminationscommittees.org/cds/dynegy-holdings-llc/,creditfixings,"DYNEGY HOLDINGS, LLC Credit Event Auction"
SEAT PAGINE GIALLE S.P.A.,2011-12-09,EUR,10.0,,,,Subordinated,SPGIM,https://www.cdsdeterminationscommittees.org/cds/seat-paginegialle-s-p-a-2/,creditfixings,SEAT PAGINE GIALLE S.P.A. Credit Event Auction
"The PMI Group, Inc.",2011-12-13,USD,16.5,,,,Senior,PMI,https://www.cdsdeterminationscommittees.org/cds/the-pmi-group-inc/,creditfixings,"The PMI Group, Inc. Credit Event Auction"
AMR Corporation,2011-12-15,USD,23.5,,,,Senior,AMR,https://www.cdsdeterminationscommittees.org/cds/amr-corporation/,creditfixings,AMR Corporation Credit Event Auction
