reference_entity,determination_date,committee,origin,doc_kind,doc_title,source_page,file_url,local_path,content_type,bytes,sha256,fetched_at,text_chars,text_path
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 042010,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/20100420 2010032501 DC Decision.pdf,data/docs/5b0cbb71173b__20100420_2010032501_DC_Decision.pdf,application/pdf,72914,5b0cbb71173b0446bafa581977881763a48762bb778c000a7add37d6e41d1672,2026-06-08T05:05:51+00:00,4887,data/doctext/5b0cbb71173b.txt
Ambac Assurance Corporation,2010-03-26,Americas,determination,decision,DC Decision 032610,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,http://www.cdsdeterminationscommittees.org/docs/20100326 2010032501 DC Decision.pdf,data/docs/786952536e9b__20100326_2010032501_DC_Decision.pdf,application/pdf,42603,786952536e9bd87bdf46f17aa9556a57411c72341c661d17b523746f243d8f31,2026-06-08T05:05:52+00:00,2907,data/doctext/786952536e9b.txt
Ambac Assurance Corporation,2010-05-07,Americas,determination,decision,99f41c209af8__050710DeterminationsCommitteeDecision0325201001.pdf,https://www.cdsdeterminationscommittees.org/docs/050710DeterminationsCommitteeDecision0325201001.pdf,https://www.cdsdeterminationscommittees.org/docs/050710DeterminationsCommitteeDecision0325201001.pdf,data/docs/99f41c209af8__050710DeterminationsCommitteeDecision0325201001.pdf,application/pdf,63363,99f41c209af8ff63524409108dbec9e7f093c2a321ac8fd8524672ee2db94e29,2026-06-08T05:05:52+00:00,1467,data/doctext/99f41c209af8.txt
TRUVO SUBSIDIARY CORP.,2010-06-29,EMEA,determination,decision,http://www.cdsdeterminationscommittees.org/companies/ISDACreditAuctionTimeline.pdf,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,http://www.cdsdeterminationscommittees.org/companies/ISDACreditAuctionTimeline.pdf,data/docs/75beefefd2bb__ISDACreditAuctionTimeline.pdf,,268711,75beefefd2bbdf6617956ec0958fd7ba358c245ec62ad6659a41c908e741852c,2026-06-08T05:05:57+00:00,14153,data/doctext/75beefefd2bb.txt
TRUVO SUBSIDIARY CORP.,2010-06-29,EMEA,determination,auction_results,Final List,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,http://www.cdsdeterminationscommittees.org/companies/truvo/docs/10723365-v1-Final_List.xls,data/docs/d793359675d3__10723365-v1-Final_List.xls,application/vnd.ms-excel,32768,d793359675d33d6e643d1e53c0d0e09ffc09a7948f7e384b99d7909e30940d32,2026-06-08T05:05:58+00:00,0,
TRUVO SUBSIDIARY CORP.,2010-06-29,EMEA,determination,auction_settlement_terms,Truvo Subsidiary Corp. Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,http://www.cdsdeterminationscommittees.org/companies/truvo/docs/Truvo-AST.pdf,data/docs/235340660a71__Truvo-AST.pdf,application/pdf,330221,235340660a71164ec09308d36efccaf0fb3b39e016a940e45e18504f209c10e0,2026-06-08T05:06:05+00:00,161753,data/doctext/235340660a71.txt
TRUVO SUBSIDIARY CORP.,2010-06-29,EMEA,determination,auction_settlement_terms,Blackline against Hellas Telecommunications (Luxembourg) II Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,http://www.cdsdeterminationscommittees.org/companies/truvo/docs/Truvo_AST-Blackline.pdf,data/docs/ded02819c41b__Truvo_AST-Blackline.pdf,application/pdf,331781,ded02819c41b345130b5b980b321afe7648ee9a2dc8e9883119a66769de252d6,2026-06-08T05:06:15+00:00,167598,data/doctext/ded02819c41b.txt
TRUVO SUBSIDIARY CORP.,2010-06-29,EMEA,determination,decision,EMEA Determinations Committee Decision 09072010,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_09072010.pdf,data/docs/2fc990899c0f__EMEA_Determinations_Committee_Decision_09072010.pdf,application/pdf,48393,2fc990899c0f775aa74faec2c3663d8aef54c081bdc5bae2f9cca8ed209934de,2026-06-08T05:06:16+00:00,819,data/doctext/2fc990899c0f.txt
TRUVO SUBSIDIARY CORP.,2010-06-29,EMEA,determination,decision,EMEA Determinations Committee Decision 07072010,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_07072010.pdf,data/docs/30f954cfb07c__EMEA_Determinations_Committee_Decision_07072010.pdf,application/pdf,48315,30f954cfb07c9b2762cf368bb370ac091cf7efbd4a33a2ea41131d9327866117,2026-06-08T05:06:16+00:00,710,data/doctext/30f954cfb07c.txt
TRUVO SUBSIDIARY CORP.,2010-06-29,EMEA,determination,decision,DC Decision 070210,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,http://www.cdsdeterminationscommittees.org/docs/EMEADeterminationsCommitteeDecision02072010.pdf,data/docs/bedbfbb2bd0d__EMEADeterminationsCommitteeDecision02072010.pdf,application/pdf,56415,bedbfbb2bd0d713ef08d94f44d9fe56c8e00b777fe8c86da61dd8bba63b6ba30,2026-06-08T05:06:17+00:00,2260,data/doctext/bedbfbb2bd0d.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,auction_results,Final List,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/companies/ambac-fgi/docs/20101202-Ambac-Financial-Group-Final-List.pdf,data/docs/2ce28f507b51__20101202-Ambac-Financial-Group-Final-List.pdf,application/pdf,61041,2ce28f507b51ff7995aae6553642f5e2c47946d2c9875365099b45fa6992d7a5,2026-06-08T05:06:17+00:00,566,data/doctext/2ce28f507b51.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,decision,Submission of Potential Deliverable Obligations and Challenges,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/companies/docs/Deliverable-Obligations-Info.pdf,data/docs/252a8d4b1fe0__Deliverable-Obligations-Info.pdf,application/pdf,57906,252a8d4b1fe0d4ed1d2df9a50c50ac821442f6d81c90275edc4af11ff4ea8590,2026-06-08T05:06:18+00:00,877,data/doctext/252a8d4b1fe0.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,auction_settlement_terms,"AMBAC Financial Group, Inc. CDS Auction Settlement Terms",https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/companies/ambac-fgi/docs/NY-10616122-v6-Ambac_Financial_Group_Auction_Terms.pdf,data/docs/6c958d753c65__NY-10616122-v6-Ambac_Financial_Group_Auction_Terms.pdf,application/pdf,345894,6c958d753c652e3c8ec7dfafbd905c40ec90d2a8fbff733c8ae2adf26f1b81c2,2026-06-08T05:06:26+00:00,164998,data/doctext/6c958d753c65.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,auction_settlement_terms,Blackline against Ambac Assurance Corporation CDS Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/companies/ambac-fgi/docs/AST-vs-Ambac-Assurance-Blackline.pdf,data/docs/7aac227db7f9__AST-vs-Ambac-Assurance-Blackline.pdf,application/pdf,353638,7aac227db7f90c0d450d83e60db8f1fb85e5f48d904cb9739eee7cf29f37e11d,2026-06-08T05:06:36+00:00,167662,data/doctext/7aac227db7f9.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,decision,DC Decision 120710,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/docs/20101207 2010110901 DC Decision.pdf,data/docs/dc746c771d5e__20101207_2010110901_DC_Decision.pdf,application/pdf,15278,dc746c771d5ef05ee42ff14d181b1d08c101a69cf97820794d5df82c905e2ac0,2026-06-08T05:06:37+00:00,777,data/doctext/dc746c771d5e.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,decision,DC Decision 120210,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/docs/20101202 2010110901 DC Decision.pdf,data/docs/bec30071ad0d__20101202_2010110901_DC_Decision.pdf,application/pdf,43691,bec30071ad0db6ae36f853cab4f23b9af3037e47af821d1c78397e494bc565b8,2026-06-08T05:06:37+00:00,2575,data/doctext/bec30071ad0d.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,decision,DC Decision 120110,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/docs/20101201 2010110901 DC Decision.pdf,data/docs/8dd4c7170996__20101201_2010110901_DC_Decision.pdf,application/pdf,63840,8dd4c7170996297588d9839af91a373a85be88c51cb8adc5460791e1e86eb6a5,2026-06-08T05:06:38+00:00,1075,data/doctext/8dd4c7170996.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,decision,DC Decision 112310,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/docs/201011232010110901DCDecision.pdf,data/docs/84163c534d71__201011232010110901DCDecision.pdf,application/pdf,79439,84163c534d71d9203d0f181f6559a848dee05502d6f2b3d33be1484982dfe171,2026-06-08T05:06:39+00:00,1432,data/doctext/84163c534d71.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,decision,DC Decision 111810,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/docs/20101118 2010110901 DC Decision.pdf,data/docs/64782f98eb8a__20101118_2010110901_DC_Decision.pdf,application/pdf,78712,64782f98eb8add32bfaef060602f186ae2e715f4cfd3f57ba83a3cd0a5022c42,2026-06-08T05:06:39+00:00,2564,data/doctext/64782f98eb8a.txt
"Ambac Financial Group, Inc.",2010-11-09,Americas,determination,decision,DC Decision 110910,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,http://www.cdsdeterminationscommittees.org/docs/110910_2010110901.pdf,data/docs/5b7fac248416__110910_2010110901.pdf,application/pdf,33273,5b7fac2484160ff24258e8b8fafeaee49a9b0ae653f5f79f3697c79b5fa738aa,2026-06-08T05:06:40+00:00,2429,data/doctext/5b7fac248416.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,auction_results,http://www.angloirishbank.com/Media-Centre/Press_Release_HTML/Results_Announcement.pdf,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.angloirishbank.com/Media-Centre/Press_Release_HTML/Results_Announcement.pdf,data/docs/3dd942ba6681__Results_Announcement.pdf,text/html; charset=UTF-8,16024,3dd942ba6681e85f9a689bf5d56b8708fed8ae7d11d6699a00cd204eb8e77595,2026-06-08T05:06:42+00:00,0,
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,auction_market_data,List of Participating Bidders,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/companies/anglo-ibcl/docs/Participating%20Bidders.pdf,data/docs/d5d03509bad4__Participating_20Bidders.pdf,application/pdf,45642,d5d03509bad48e5003c9b03ff841a12ab6db2409bcd6ffacfca3019ef7f9aad6,2026-06-08T05:06:42+00:00,483,data/doctext/d5d03509bad4.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,auction_results,Final List of Deliverable Obligations,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/companies/anglo-ibcl/docs/ICM-11837883-v1-Final_List_-_Anglo_Irish_II.xls,data/docs/ad055b007b69__ICM-11837883-v1-Final_List_-_Anglo_Irish_II.xls,application/vnd.ms-excel,78848,ad055b007b6912409bc48629a5e46f0d94c0f30c4c711f5df5291a1d9049d307,2026-06-08T05:06:43+00:00,0,
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,auction_settlement_terms,Anglo Irish Bank Corporation Limited Auction Settlement Terms,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/companies/anglo-ibcl/docs/Anglo_Irish_II_-_AST.pdf,data/docs/7847e8e4e1b6__Anglo_Irish_II_-_AST.pdf,application/pdf,433129,7847e8e4e1b67c70e5be5242094e9f12e35ece6f2fed2065c388fcd75e9958c1,2026-06-08T05:06:51+00:00,160433,data/doctext/7847e8e4e1b6.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,Anglo Irish triggered transactions data,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/companies/anglo-ibcl/docs/Anglo-Irish-December-trigger.pdf,data/docs/8f651a9d9310__Anglo-Irish-December-trigger.pdf,application/pdf,131972,8f651a9d93104a7230a627e07c4e2a4070dd679f194227f0982b47c98692e3ae,2026-06-08T05:06:52+00:00,1011,data/doctext/8f651a9d9310.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 27012011,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_27012011.pdf,data/docs/a76930e7cfe1__EMEA_Determinations_Committee_Decision_27012011.pdf,application/pdf,184095,a76930e7cfe159a12e4e4e5364848f2b4cdaeb043a13b69c991a8f8ba1bcb6b2,2026-06-08T05:06:53+00:00,852,data/doctext/a76930e7cfe1.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 25012011,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_25012011.pdf,data/docs/642b36dd673c__EMEA_Determinations_Committee_Decision_25012011.pdf,application/pdf,188215,642b36dd673cfdffc5a23c5e27e6116b7332e9a134daf98ce177c293f72976b4,2026-06-08T05:06:53+00:00,1454,data/doctext/642b36dd673c.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 14012011,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_14012011.pdf,data/docs/5469b17733c9__EMEA_Determinations_Committee_Decision_14012011.pdf,application/pdf,183286,5469b17733c9e09d6a3ba4dbcbcaaf81add0641bde6f1e5769895201a9447f3c,2026-06-08T05:06:54+00:00,668,data/doctext/5469b17733c9.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 13012011,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_13012011.pdf,data/docs/0c669fc5192c__EMEA_Determinations_Committee_Decision_13012011.pdf,application/pdf,183808,0c669fc5192c6a6d4001b96b982a87461136e874fb55838b3384473c89d9a1d4,2026-06-08T05:06:55+00:00,710,data/doctext/0c669fc5192c.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 12012011,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_12012011.pdf,data/docs/35da331dae37__EMEA_Determinations_Committee_Decision_12012011.pdf,application/pdf,183738,35da331dae37cea4c2cee6d29fa24e25ff40e4d99bff01ce72057eca484d4cef,2026-06-08T05:06:55+00:00,712,data/doctext/35da331dae37.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 10012011,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_10012011.pdf,data/docs/776b7b439240__EMEA_Determinations_Committee_Decision_10012011.pdf,application/pdf,135758,776b7b43924090d50f26730656b02819aca3ace7cc86fb4d9cb3da8da6d53175,2026-06-08T05:06:56+00:00,688,data/doctext/776b7b439240.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 04012011,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_04012011.pdf,data/docs/1383e8e2ac68__EMEA_Determinations_Committee_Decision_04012011.pdf,application/pdf,189075,1383e8e2ac68b740070c1cca9aebcce27c17f351c04d6b3ff64c09684249b771,2026-06-08T05:06:57+00:00,1462,data/doctext/1383e8e2ac68.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-23,EMEA,determination,decision,EMEA Determinations Committee Decision 2010122201,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,http://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_2010122201.pdf,data/docs/5f3e346fe69c__EMEA_Determinations_Committee_Decision_2010122201.pdf,application/pdf,192713,5f3e346fe69c46ea769c4fd9fa5407b4bd0c66eae3b7e7bb762b19853700f4bf,2026-06-08T05:06:58+00:00,2368,data/doctext/5f3e346fe69c.txt
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-24,EMEA,determination,auction_results,http://www.angloirishbank.com/Media-Centre/Press_Release_HTML/Results_of_Meeting_2017_Notes_Meeting_XS0305277807.pdf,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,http://www.angloirishbank.com/Media-Centre/Press_Release_HTML/Results_of_Meeting_2017_Notes_Meeting_XS0305277807.pdf,data/docs/0af4eb0f9ea6__Results_of_Meeting_2017_Notes_Meeting_XS0305277807.pdf,text/html; charset=UTF-8,16024,0af4eb0f9ea68cb7a26162ce991b610353edcfde6b4ff4e5eb5e5998f4f76cac,2026-06-08T05:06:59+00:00,0,
ANGLO IRISH BANK CORPORATION LIMITED,2010-11-24,EMEA,determination,auction_results,Final List,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,http://www.cdsdeterminationscommittees.org/companies/anglo/docs/ICM-11640790-v1-Final_List.xls,data/docs/a5c671242511__ICM-11640790-v1-Final_List.xls,application/vnd.ms-excel,78848,a5c671242511ae8dc4835638787e206e3172f216db1e571e238c1d0ce30044e0,2026-06-08T05:06:59+00:00,0,
