date,committee,reference_entity,issue_number,credit_event_type,decision,doc_type,url,source,title,tags,auction_date,auction_held
2011-11-28,Americas,"The PMI Group, Inc.",9029,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/the-pmi-group-inc/,dc-isda,"The PMI Group, Inc.",auction,2011-12-13,True
2011-11-30,Americas,AMR Corporation,9031,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/amr-corporation/,dc-isda,AMR Corporation,auction,2011-12-15,True
2011-12-15,EMEA,NORTHERN ROCK (ASSET MANAGEMENT) PLC,9032,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/northern-rock-asset-management-plc/,dc-isda,NORTHERN ROCK (ASSET MANAGEMENT) PLC,auction,2012-02-02,True
2012-01-12,EMEA,SEAT PAGINE GIALLE S.P.A.,9033,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/lcds/seat-elcds-credit-event/,dc-isda,SEAT PAGINE GIALLE S.P.A.,auction,2012-01-17,True
2012-01-19,Americas,Eastman Kodak Company,9035,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/eastman-kodak-company/,dc-isda,Eastman Kodak Company,auction,2012-02-22,True
2012-02-13,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/a-call-transcript.pdf/,document-feed,Call Transcript (13 February 2012) – Latest Revision,,,False
2012-02-27,Japan,"Elpida Memory, Inc.",9037,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/elpida-memory-inc/,dc-isda,"Elpida Memory, Inc.",auction,2012-03-22,True
2012-03-09,EMEA,Hellenic Republic,9038,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/the-hellenic-republic-3/,dc-isda,Hellenic Republic,auction,2012-03-19,True
2012-03-15,EMEA,"Financiere Gaillon 7 S.A.S., LR",5000,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/lcds/financier-gaillon-7/,dc-isda,"Financiere Gaillon 7 S.A.S., LR",auction,2012-03-28,True
2012-03-16,EMEA,ERC Ireland Finance Limited,9039,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/erc-ireland-finance-limited/,dc-isda,ERC Ireland Finance Limited,auction,2012-03-29,True
2012-03-20,EMEA,ERC Ireland Finance Limited,,Restructuring,Determination published,decision,https://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decisions_20032012ERC.pdf,reference,EMEA Determinations Committee Decisions - ERC Ireland,,,False
2012-03-28,EMEA,Eircom,9044,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/lcds/eircom/,dc-isda,Eircom,auction,2012-05-02,True
2012-04-02,Asia ex-Japan,SINO-FOREST CORPORATION,9042,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/sino-forest-corporation-2/,dc-isda,SINO-FOREST CORPORATION,auction,2012-05-09,True
2012-04-04,Americas,"Hawker Beechcraft Acquisition Company, LLC",9043,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/lcds/hawker-beechcraft-acquisition-co-llc/,dc-isda,"Hawker Beechcraft Acquisition Company, LLC",auction,2012-04-26,True
2012-05-14,Americas,"Residential Capital, LLC",9045,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/residential-capital-llc/,dc-isda,"Residential Capital, LLC",auction,2012-06-06,True
2012-05-18,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/submission-of-potential-deliverable-obligations-and-challenges.pdf/,document-feed,Submission  of Potential Deliverable Obligations and Challenges – Latest Revision,,,False
2012-05-19,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/report-relating-to-bondholder-meetings-19-may-2012.pdf/,document-feed,Report relating to Bondholder meetings (19 May 2012) – Latest Revision,,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-list-of-participating-bidders.pdf/,document-feed,"2012051401 Residential Capital, LLC – List of Participating Bidders – Latest Revision",,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-20120524-dc-decision.pdf/,document-feed,"2012051401 Residential Capital, LLC – 20120524 DC Decision – Latest Revision",,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-list-of-participating-visitors.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – List of Participating Bidders – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-redline-vs-kodak.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – Redline vs Kodak – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-ny-14299183-v2-summary_of_hmh_ast_changes.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – NY-14299183-v2-Summary_of_HMH_AST_Changes – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-ny-14265735-v3-hmh_ast.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – NY-14265735-v3-HMH_AST – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-20120525-dc-decision.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – 20120525 DC Decision – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-final-list.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – Final List – Latest Revision,,,False
2012-05-20,Asia ex-Japan,Sterling Biotech Limited Aej 25052012B,2012051801,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051801-sterling-biotech-limited-aej_determinations_committee_decision_-25052012b.pdf/,document-feed,2012051801 STERLING BIOTECH LIMITED – AEJ_Determinations_Committee_Decision_ 25052012b – Latest Revision,,,False
2012-05-20,Asia ex-Japan,Sterling Biotech Limited Aej 25052012A,2012051801,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051801-sterling-biotech-limited-aej_determinations_committee_decision_-25052012a.pdf/,document-feed,2012051801 STERLING BIOTECH LIMITED – AEJ_Determinations_Committee_Decision_ 25052012a – Latest Revision,,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-rescap-ast-redline-against-kodak-ast.pdf/,document-feed,"2012051401 Residential Capital, LLC – Rescap AST redline (against Kodak AST) – Latest Revision",,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-ny-14244377-v3-rescap_ast.pdf/,document-feed,"2012051401 Residential Capital, LLC – NY-14244377-v3-ResCap_AST – Latest Revision",,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-final-list.pdf/,document-feed,"2012051401 Residential Capital, LLC – Final List – Latest Revision",,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-supplemental-list.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – Supplemental List – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-20120523-dc-decision.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – 20120523 DC Decision – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-initial-list.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – Initial List – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-preliminary-list.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – Preliminary List – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-dc-decision-052212.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – DC Decision 052212 – Latest Revision,,,False
2012-05-20,,Houghton Mifflin Harcourt Publishing Company,2012052101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012052101-houghton-mifflin-harcourt-publishing-company-20120522-2012052101-dc-decision2.pdf/,document-feed,2012052101 Houghton Mifflin Harcourt Publishing Company – DC Decision 052212-2 – Latest Revision,,,False
2012-05-20,Japan,The Sumitomo Trust And Banking Co,2012041001,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012041001-the-sumitomo-trust-and-banking-co-japan_determinations_committee_decision_210512.pdf/,document-feed,2012041001 The Sumitomo Trust and Banking Co – Japan_Determinations_Committee_Decision_210512 – Latest Revision,,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-20120518-rescap-supplemental-list.pdf/,document-feed,"2012051401 Residential Capital, LLC – 20120518 ResCap Supplemental List – Latest Revision",,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-2012051401-dc-decision.pdf/,document-feed,2012051401 Residential Capital LLC – 2012051401 DC Decision – Latest Revision,,,False
2012-05-20,,"Residential Capital, LLC",2012051401,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/05/2012051401-residential-capital-llc-initial-list.pdf/,document-feed,"2012051401 Residential Capital, LLC – Initial list – Latest Revision",,,False
2012-05-21,Americas,Houghton Mifflin Harcourt Publishing Company,9046,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/houghton-mifflin-harcourt-publishing-company/,dc-isda,Houghton Mifflin Harcourt Publishing Company,auction,2012-05-30,True
2012-05-28,,Article From India Economic Times,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/article-from-india-economic-times-28-may-2012.pdf/,document-feed,Article from India Economic Times (28 May 2012) – Latest Revision,,,False
2012-05-29,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/transcript-of-conference-call-29-may-2012.pdf/,document-feed,Transcript of Conference Call (29 May 2012) – Latest Revision,,,False
2012-06-01,,Dc Requests Feed,,,,decision,https://www.cdsdeterminationscommittees.org/2012/06/dc-requests-feed/,rest-api,DC Requests Feed,,,False
2012-06-11,,Business Week Article,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/business-week-article-11-june-2012.pdf/,document-feed,Business Week article (11 June 2012) – Latest Revision,,,False
2012-06-11,,Times Of India Article,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/times-of-india-article-11-june-2012.pdf/,document-feed,Times of India article (11 June 2012) – Latest Revision,,,False
2012-06-11,,Reuters Article,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/reuters-article-11-june-2012.pdf/,document-feed,Reuters article (11 June 2012) – Latest Revision,,,False
2012-06-11,,Bloomberg Article,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/bloomberg-article-11-june-2012.pdf/,document-feed,Bloomberg article (11 June 2012) – Latest Revision,,,False
2012-06-11,,Press Release By Reference Entity,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/press-release-by-reference-entity-11-june-2012.pdf/,document-feed,Press release by Reference Entity (11 June 2012) – Latest Revision,,,False
2012-06-11,,By The Reference Entity To Sgx St,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/announcement-by-the-reference-entity-to-sgx-st-11-june-2012.pdf/,document-feed,Announcement by the Reference Entity to SGX-ST (11 June 2012) – Latest Revision,,,False
2012-06-11,,Letter To The National Stock Exchange,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/letter-to-the-national-stock-exchange-11-june-2012.pdf/,document-feed,Letter to the National Stock Exchange (11 June 2012) – Latest Revision,,,False
2012-06-12,,India Economic Times Article,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/india-economic-times-article-12-june-2012.pdf/,document-feed,India Economic Times article (12 June 2012) – Latest Revision,,,False
2012-06-20,EMEA,Unitymedia Gmbh,2012040201,,,statement,https://www.cdsdeterminationscommittees.org/documents/2012/06/2012040201-unitymedia-gmbh-emea_determinations_committee_clarificatory_statement_01062012.pdf/,document-feed,2012040201 Unitymedia GmbH  – EMEA_Determinations_Committee_Clarificatory_Statement_01062012 – Latest Revision,,,False
2012-06-20,EMEA,Unitymedia Gmbh,2012040201,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/06/2012040201-unitymedia-gmbh-emea_determinations_committee_decision_01062012.pdf/,document-feed,2012040201 Unitymedia GmbH  – EMEA_Determinations_Committee_Decision_01062012 – Latest Revision,,,False
2012-07-05,,Sara Lee,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/dc-decision-070212-sara-lee.pdf/,document-feed,DC Decision 070212 – Sara Lee – Latest Revision,,,False
2012-07-07,Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/070710.pdf/,document-feed,Japan_DC_Standing_Resolution_070710 – Latest Revision,,,False
2012-07-09,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/emea_determinations_committee_decision_09072012.pdf/,document-feed,EMEA_Determinations_Committee_Decision_09072012 – Latest Revision,,,False
2012-07-10,,Annual Report Of Suzlon Group,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/annual-report-of-suzlon-group-2011-12.pdf/,document-feed,Annual Report of Suzlon Group (2011-12) – Latest Revision,,,False
2012-07-10,,From Icra Limited,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/notice-from-icra-limited.pdf/,document-feed,Notice from ICRA Limited – Latest Revision,,,False
2012-07-10,,Of Meeting Interest Bearing Bonds,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/notice-of-meeting-interest-bearing-bonds.pdf/,document-feed,Notice of meeting – Interest-bearing Bonds – Latest Revision,,,False
2012-07-10,,Of Meeting Holders Of Zero Coupon Bonds,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/notice-of-meeting-holders-of-zero-coupon-bonds.pdf/,document-feed,Notice of meeting – holders of Zero Coupon Bonds – Latest Revision,,,False
2012-07-10,,Suzlon Energy Limited Supporting Information,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/suzlon-energy-limited-supporting-information.pdf/,document-feed,Suzlon Energy Limited – Supporting Information – Latest Revision,,,False
2012-07-10,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/emea_standing_resolution_21062010.pdf/,document-feed,EMEA_Standing_Resolution_21062010 – Latest Revision,,,False
2012-07-12,Asia ex-Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/aej_determinations_committee_decision_12072012.pdf/,document-feed,AEJ_Determinations_Committee_Decision_12072012 – Latest Revision,,,False
2012-07-17,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/dc-decision-071712.pdf/,document-feed,DC Decision 071712 – Latest Revision,,,False
2012-07-17,Asia ex-Japan,,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2012/07/aej_determinations_committee_statement_17072012.pdf/,document-feed,AEJ_Determinations_Committee_Statement_17072012 – Latest Revision,,,False
2012-07-19,Asia ex-Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/aej_determinations_committee_decision_19072012.pdf/,document-feed,AEJ_Determinations_Committee_Decision_19072012 – Latest Revision,,,False
2012-07-20,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/07/emea_determinations_committee_decision_200712-2.pdf/,document-feed,EMEA_Determinations_Committee_Decision_20072012 – Latest Revision,,,False
2012-08-07,,Ccp Participation Letter Clean,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/ccp-participation-letter-2012-270612-clean.doc/,document-feed,CCP Participation Letter 2012 270612 CLEAN – Latest Revision,,,False
2012-08-14,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/dc-decision-081412.pdf/,document-feed,DC Decision 081412 – Latest Revision,,,False
2012-08-17,,Prog Bw,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/prog-bw-081712.pdf/,document-feed,prog-bw-081712 – Latest Revision,,,False
2012-08-20,Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/japan_dc_decision_20120808.pdf/,document-feed,Japan_DC_Decision_20120808 – Latest Revision,,,False
2012-08-20,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/emea_dc_decision_20120808.pdf/,document-feed,EMEA_DC_Decision_20120808 – Latest Revision,,,False
2012-08-20,,Asiaexjapn,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/asiaexjapn_dc_decision_20120808.pdf/,document-feed,AsiaExJapn_DC_Decision_20120808 – Latest Revision,,,False
2012-08-20,Australia-New Zealand,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/anz_dc_decision_20120808.pdf/,document-feed,ANZ_DC_Decision_20120808 – Latest Revision,,,False
2012-08-20,Americas,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/americas_dc_decision_20120808.pdf/,document-feed,Americas_DC_Decision_20120808 – Latest Revision,,,False
2012-08-24,Americas,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/08/americas-dc-decision-20120824.pdf/,document-feed,Americas DC Decision 20120824 – Latest Revision,,,False
2012-09-06,Americas,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/09/americas-dc-decision-20120906.pdf/,document-feed,Americas DC Decision 20120906 – Latest Revision,,,False
2012-09-07,Americas,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/09/americas-dc-decision-20120907.pdf/,document-feed,Americas DC Decision 20120907 – Latest Revision,,,False
2012-09-20,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/09/20110414-2011040401-dc-decision.pdf/,document-feed,20110414 2011040401 DC Decision – Latest Revision,,,False
2012-09-26,EMEA,Rbsnv,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/09/rbsnv_emea_determinations_committee_decision_26092012.pdf/,document-feed,RBSNV_EMEA_Determinations_Committee_Decision_26092012 – Latest Revision,,,False
2012-09-27,,Ny V6 New Albertson S,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2012/09/ny_11105189_v6_new_albertson_s_dc_statement.pdf/,document-feed,NY_11105189_v6_New_Albertson_s_DC_Statement – Latest Revision,,,False
2012-10-03,Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/10/japan_dc_standing_resolution_070710-2.pdf/,document-feed,Japan_DC_Standing_Resolution_070710 – Latest Revision,,,False
2012-10-04,,Cemex Rinker,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2012/10/cemex-rinker-statement-4-october-2012.pdf/,document-feed,Cemex-Rinker Statement 4 October 2012 – Latest Revision,,,False
2012-10-22,Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/10/japan_determinations_committee_decision_22102012-2.pdf/,document-feed,Japan_Determinations_Committee_Decision_22102012 – Latest Revision,,,False
2012-10-23,EMEA,Pdf,2009102702,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/10/emea-determinations-committee-decision-2009102702-pdf.pdf/,document-feed,EMEA Determinations Committee Decision 2009102702.pdf – Latest Revision,,,False
2012-11-02,,Sanyo Electric Co Ltd,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2012/11/sanyo-electric-co-ltd-statement-2-november-2012.pdf/,document-feed,"SANYO Electric Co., Ltd. Statement 2 November 2012 – Latest Revision",,,False
2012-11-02,Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/japan_determinations_committee_decision_02112012.pdf/,document-feed,Japan_Determinations_Committee_Decision_02112012 – Latest Revision,,,False
2012-11-07,,Yell Usa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/blackline-yell-usa-against-eircom-usa.doc/,document-feed,Blackline Yell USA against Eircom USA – Latest Revision,,,False
2012-11-07,,Icm V1 Signature Page,16045563,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/icm-16045563-v1-signature_page.doc/,document-feed,ICM-16045563-v1-Signature_Page – Latest Revision,,,False
2012-11-07,,Icm V3 Yell Usa,16039716,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/icm-16039716-v3-yell_usa.pdf/,document-feed,ICM-#16039716-v3-Yell_USA – Latest Revision,,,False
2012-11-07,,Yell Usa Faqs,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/yell-usa_faqs.doc/,document-feed,Yell USA_FAQs – Latest Revision,,,False
2012-11-12,,Form Of Customer Physical Settlement Request Letter For Yell Limited,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/form-of-customer-physical-settlement-request-letter-for-yell-limited.pdf/,document-feed,Form of Customer Physical Settlement Request Letter for Yell Limited – Latest Revision,,,False
2012-11-12,,Elcds For Yell Limited,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/elcds-auction-settlement-terms-for-yell-limited.pdf/,document-feed,ELCDS Auction Settlement Terms for Yell Limited – Latest Revision,,,False
2012-11-14,,Yell Limited Credit Event,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2012/11/yell-limited-credit-event-participating-bidders.pdf/,document-feed,Yell Limited Credit Event – participating bidders – Latest Revision,,,False
2012-11-14,Americas,"OVERSEAS SHIPHOLDING GROUP, INC.",9048,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/overseas-shipholding-group-inc/,dc-isda,"OVERSEAS SHIPHOLDING GROUP, INC.",auction,2012-12-06,True
